"filename", "language", "C++", "CMake", "Markdown", "YAML", "Dart", "Properties", "HTML", "JSON", "XML", "Swift", "comment", "blank", "total"
"d:\jobs\todo_aeo\todo_aeo_client\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\jobs\todo_aeo\todo_aeo_client\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\jobs\todo_aeo\todo_aeo_client\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\jobs\todo_aeo\todo_aeo_client\windows\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\jobs\todo_aeo\todo_aeo_client\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 547, 463, 151, 24, 1581, 8, 19, 248, 470, 57, 378, 546, 4492
